"SITE_ID","YEAR","VISIT_NO","LTMXSPP","LTMXDIST","LTMXDBH","LTMXSIZE","LTMXHT","LTMXCNT","LTMDDIST","LTMDDOM","LTMDSUB","LTMDDOMN","LTMDSUBN","LTSPLIST","LTFRACS","LTFRACM","LTFRACL","LTFRACX" 
"WUTP99-0732",2003,1,"Pine",3,".75-2","L","15-30",11,2.1818181818,"Alder/Birch","Juniper",7,2,"RIVER BIRCH,RIVER BIRCH,SINGLELEAF PINYON,RIVER BIRCH,UTAH JUNIPER,RIVER BIRCH,SINGLELEAF PINYON,UTAH JUNIPER,RIVER BIRCH,RIVER BIRCH,RIVER BIRCH",11,11,11,0 
"WUTP99-0733",2003,1,"Spruce",1,">2","X",">30",10,2.3,"Spruce","Firs/Hemlock",9,1,"COLORADO BLUE SPRUCE,COLORADO BLUE SPRUCE,COLORADO BLUE SPRUCE,COLORADO BLUE SPRUCE,COLORADO BLUE SPRUCE,DOUGLAS FIR,COLORADO BLUE SPRUCE,COLORADO BLUE SPRUCE,COLORADO BLUE SPRUCE,COLORADO BLUE SPRUCE",10,10,10,10 
"WUTP99-0734",2004,1,"Poplar/Cottonwood",30,".3-.75","L","15-30",8,7.7272727273," ","Poplar/Cottonwood",8,3,"COTTONWOOD,RUSSIAN OLIVE,COTTONWOOD,RUSSIAN OLIVE,RUSSIAN OLIVE,RUSSIAN OLIVE,RUSSIAN OLIVE,COTTONWOOD,RUSSIAN OLIVE,RUSSIAN OLIVE,RUSSIAN OLIVE",8,4,2,0 
"WUTP99-0735",2003,1,"Poplar/Cottonwood",12,".3-.75","L",">30",11,8.2857142857,"Poplar/Cottonwood"," ",7, ,"FREMONT COTTONWOOD,FREMONT COTTONWOOD,FREMONT COTTONWOOD,FREMONT COTTONWOOD,FREMONT COTTONWOOD,FREMONT COTTONWOOD,FREMONT COTTONWOOD,FREMONT COTTONWOOD,FREMONT COTTONWOOD,FREMONT COTTONWOOD,FREMONT CO",11,11,3,0 
"WUTP99-0737",2003,1,"Juniper",6,".75-2","L","15-30",10,6.2727272727,"Juniper","Poplar/Cottonwood",4,4,"FREMONT COTTONWOOD,FREMONT COTTONWOOD,UTAH JUNIPER,FREMONT COTTONWOOD,FREMONT COTTONWOOD,UTAH JUNIPER,UTAH JUNIPER,UTAH JUNIPER,PINYON PINE,PINYON PINE,PINYON PINE",10,10,7,0 
"WUTP99-0738",2003,1,"Juniper",15,".75-2","L","15-30",11,10.6,"Juniper"," ",10, ,"UTAH JUNIPER,UTAH JUNIPER,UTAH JUNIPER,UTAH JUNIPER,UTAH JUNIPER,UTAH JUNIPER,UTAH JUNIPER,UTAH JUNIPER,UTAH JUNIPER,UTAH JUNIPER,UTAH JUNIPER",11,11,2,0 
"WWAP99-0501",2000,1,"Pine",1,".75-2","X",">30",11,4.1,"Pine"," ",10, ,"WHITE PINE,WHITE PINE,LODGEPOLE PINE,LODGEPOLE PINE,LODGEPOLE PINE,LODGEPOLE PINE,LODGEPOLE PINE,LODGEPOLE PINE,LODGEPOLE PINE,LODGEPOLE PINE,LODGEPOLE PINE",11,11,10,3 
"WWAP99-0502",2000,1,"Poplar/Cottonwood",1,".75-2","X",">30",11,3.8333333333,"Firs/Hemlock","Poplar/Cottonwood",4,2,"WILLOW,DOUGLAS FIR,DOUGLAS FIR,DOUGLAS FIR,BLACK COTTONWOOD,DOUGLAS FIR,WILLOW,WILLOW,BLACK COTTONWOOD,DOUGLAS FIR,WILLOW",11,11,6,2 
"WWAP99-0504",2000,1,"Firs/Hemlock",10,".75-2","X",">30",11,4.6363636364,"Firs/Hemlock","Spruce",10,1,"DOUGLAS FIR,DOUGLAS FIR,FIR,FIR,FIR,SPRUCE,FIR,FIR,FIR,FIR,FIR",11,11,11,4 
"WWAP99-0507",2000,1,"Firs/Hemlock",1,".75-2","X",">30",11,1.5714285714,"Spruce","Firs/Hemlock",5,2,"FIR,SPRUCE,SPRUCE,SPRUCE,FIR,SPRUCE,SPRUCE,SPRUCE,SPRUCE,SPRUCE,SPRUCE",11,11,11,6 
"WWAP99-0508",2003,1,"Poplar/Cottonwood",15,".75-2","X",">30",11,6.8333333333,"Poplar/Cottonwood","Firs/Hemlock",5,1,"COTTONWOOD,COTTONWOOD,FIR,COTTONWOOD,FIR,COTTONWOOD,COTTONWOOD,COTTONWOOD,FIR,FIR,COTTONWOOD",11,11,10,6 
"WWAP99-0509",2000,1,"Firs/Hemlock",8,".3-.75","L","15-30",11,5.5454545455,"Firs/Hemlock"," ",11, ,"DOUGLAS FIR,HEMLOCK,HEMLOCK,HEMLOCK,TRUE FIR,DOUGLAS FIR,HEMLOCK,FIR,TRUE FIR,HEMLOCK,HEMLOCK",11,11,2,0 
"WWAP99-0512",2000,1,"Poplar/Cottonwood",7,">2","X","15-30",11,10.555555556,"Firs/Hemlock","Poplar/Cottonwood",5,3,"DOUGLAS FIR,COTTONWOOD,COTTONWOOD,COTTONWOOD,COTTONWOOD,GRAND FIR,ASPEN COTTONWOOD,DOUGLAS FIR,DOUGLAS FIR,DOUGLAS FIR,PONDOROSA PINE",11,11,10,6 
"WWAP99-0513",2000,1,"Pine",8,".75-2","X",">30",10,16.444444444,"Pine","Firs/Hemlock",7,2,"PINE,PINE,PINE,PINE,FIR,PINE,FIR,PINE,PINE,FIR",10,9,9,2 
"WWAP99-0515",2000,1,"Spruce",20,".75-2","X",">30",11,19.666666667,"Firs/Hemlock","Spruce",2,2,"SITKA SPRUCE,MAPLE,SITKA SPRUCE,DOUGLAS FIR,DOUGLAS FIR,DOUGLAS FIR,DOUGLAS FIR,DOUGLAS FIR,CEDAR,CEDAR,RED CEDAR",11,11,6,2 
"WWAP99-0516",2000,1,"Firs/Hemlock",3,".3-.75","L",">30",11,3.1,"Firs/Hemlock"," ",10, ,"FIR,FIR,FIR,FIR,FIR,FIR,FIR,FIR,FIR,FIR,FIR",11,11,10,0 
"WWAP99-0517",2000,1,"Cedar/Cypress/Sequoia",46,".75-2","X",">30",10,18.777777778,"Firs/Hemlock","Spruce",5,3,"CEDAR,HEMLOCK,HEMLOCK,SPRUCE,SITKA SPRUCE,HEMLOCK,HEMLOCK,HEMLOCK,HEMLOCK,SPRUCE",10,9,4,2 
"WWAP99-0520",2000,1,"Firs/Hemlock",30,".75-2","L","15-30",11,13.666666667,"Firs/Hemlock","Alder/Birch",6,3,"ALDER,DOUGLAS FIR,DOUGLAS FIR,ALDER,DOUGLAS FIR,DOUGLAS FIR,DOUGLAS FIR,ALDER,ALDER,DOUGLAS FIR,ALDER",11,11,9,0 
"WWAP99-0521",2000,1," ",4,">2","X",">30",11,3," ","Firs/Hemlock",2,1,"DOUGLAS FIR,SPRUCE,FIR,ALDER,SPRUCE FIR,SPRUCE FIR,MAPLE,ALDER,ALDER,ALDER,ALDER",11,11,11,5 
"WWAP99-0522",2000,1,"Firs/Hemlock",25,".75-2","X",">30",11,15.833333333,"Firs/Hemlock","Alder/Birch",5,1,"FIR,LARCH,ALDER,ALDER,FIR,FIR,FIR,FIR,ALDER,ALDER,FIR",11,11,9,5 
"WWAP99-0524",2001,1,"Firs/Hemlock",30,">2","X",">30",10,8.7777777778,"Cedar/Cypress/Sequoia","Firs/Hemlock",5,4,"FIR,CEDAR,CEDAR,FIR,CEDAR,CEDAR,FIR,PINE,FIR,CEDAR,CEDAR",10,10,10,5 
"WWAP99-0526",2001,1,"Pine",5,".75-2","X",">30",11,7,"Cedar/Cypress/Sequoia","Pine",4,4,"PINE,FIR,PINE,FIR,PINE,PINE,PINE,CEDAR,CEDAR,CEDAR,CEDAR",11,11,6,1 
"WWAP99-0527",2001,1,"Cedar/Cypress/Sequoia",10,">2","X",">30",11,11.6,"Cedar/Cypress/Sequoia","Firs/Hemlock",4,3,"FIR,CEDAR,CEDAR,CEDAR,SPRUCE,CEDAR,SPRUCE,SPRUCE,FIR,FIR,SPRUCE",11,11,11,9 
"WWAP99-0529",2001,1,"Firs/Hemlock",40,".75-2","X",">30",11,27.272727273,"Firs/Hemlock","Cedar/Cypress/Sequoia",10,1,"FIR,FIR,FIR,FIR,FIR,FIR,FIR,FIR,FIR,FIR,CEDAR",11,11,11,3 
"WWAP99-0531",2002,1,"Pine",3,".75-2","L","15-30",11,2.3636363636,"Firs/Hemlock","Cedar/Cypress/Sequoia",7,2,"FIR,FIR,FIR,SNAG,CEDAR,CEDAR,FIR,PINE,FIR,FIR,FIR",11,11,5,0 
"WWAP99-0532",2002,1,"Pine",10,".75-2","X",">30",11,9.3333333333,"Cedar/Cypress/Sequoia","Firs/Hemlock",4,2,"FIR,FIR,FIR,PINE,CEDAR,CEDAR,CEDAR,SNAG,PINE,FIR,CEDAR",11,11,11,7 
"WWAP99-0534",2002,1,"Firs/Hemlock",0.5,".75-2","X",">30",11,4.3,"Firs/Hemlock"," ",10, ,"FIR,FIR,FIR,FIR,FIR,FIR,FIR,FIR,FIR,FIR,FIR",11,11,10,5 
"WWAP99-0535",2002,1,"Poplar/Cottonwood",20,".75-2","X",">30",11,16.166666667,"Firs/Hemlock","Poplar/Cottonwood",5,1,"FIR,POPLAR/COTTONWOOD,FIR,FIR,FIR,FIR,FIR,FIR,FIR,FIR,FIR",11,11,8,6 
"WWAP99-0538",2003,1,"Snag",1,".75-2","X",">30",11,4,"Spruce","Snag",6,2,"SPRUCE,SNAG,SNAG,SPRUCE,SNAG,SPRUCE,SPRUCE,SPRUCE,SPRUCE,FIR,SPRUCE",11,11,11,8 
"WWAP99-0541",2003,1,"Firs/Hemlock",7,".75-2","X",">30",11,13.333333333,"Firs/Hemlock"," ",6, ,"FIR,FIR,FIR,FIR,FIR,FIR,FIR,FIR,FIR,FIR,FIR",11,11,11,4 
"WWAP99-0542",2003,1,"Firs/Hemlock",6,".75-2","X",">30",11,6.1111111111,"Firs/Hemlock","Pine",6,2,"FIR,PINE,PINE,FIR,CEDAR,CEDAR,FIR,FIR,FIR,FIR,FIR",11,11,11,9 
"WWAP99-0546",2003,1,"Snag",3,".75-2","X",">30",11,8.9090909091,"Snag","Firs/Hemlock",9,2,"SNAG,SNAG,FIR,SNAG,SNAG,SNAG,FIR,SNAG,SNAG,SNAG,SNAG",11,11,11,10 
"WWAP99-0560",2003,1,"Firs/Hemlock",0,".3-.75","L",">30",10,4.8181818182,"Cedar/Cypress/Sequoia","Alder/Birch",4,3,"FIR,CEDAR,CEDAR,CEDAR,FIR,ALDER,FIR,COTTONWOOD,ALDER,ALDER,CEDAR",10,10,10,0 
"WWAP99-0563",2003,1,"Firs/Hemlock",8,".75-2","L","15-30",11,7.5454545455,"Firs/Hemlock","Poplar/Cottonwood",4,4,"FIR,PINE,POPLAR,FIR,POPLAR,POPLAR,PINE,PINE,FIR,POPLAR,FIR",11,11,10,0 
"WWAP99-0566",2003,1,"Firs/Hemlock",50,".75-2","X",">30",9,33.666666667,"Firs/Hemlock","Cedar/Cypress/Sequoia",5,3,"CEDAR,FIR,CEDAR,FIR,CEDAR,FIR,FIR,FIR,SNAG",9,9,9,3 
"WWAP99-0568",2003,1,"Poplar/Cottonwood",10,".75-2","X",">30",11,12.272727273,"Pine"," ",9,1,"COTTONWOOD,PINE,PINE,PINE,PINE,PINE,PINE,PINE,PINE,PINE,LARCH",11,11,11,1 
"WWAP99-0593",2003,1,"Firs/Hemlock",20,".75-2","X",">30",11,10.285714286,"Firs/Hemlock","Snag",5,1,"FIR,FIR,FIR,FIR,FIR,FIR,FIR,FIR,SNAG,SNAG,SPRUCE",11,11,11,7 
"WWAP99-0595",2001,1,"Firs/Hemlock",12,".75-2","X",">30",11,6.3333333333,"Firs/Hemlock"," ",6, ,"FIR,FIR,FIR,FIR,FIR,ALDER,FIR,FIR,FIR,CEDAR,FIR",11,11,11,2 
"WWAP99-0598",2001,1,"Firs/Hemlock",2,".75-2","X",">30",11,13.25,"Firs/Hemlock","Cedar/Cypress/Sequoia",6,2,"FIR,FIR,CEDAR,FIR,FIR,FIR,FIR,CEDAR,CEDAR,FIR,FIR",11,11,11,8 
"WWAP99-0602",2001,1,"Firs/Hemlock",8,".75-2","X",">30",11,7.3,"Firs/Hemlock","Cedar/Cypress/Sequoia",6,4,"FIR,CEDAR,CEDAR,FIR,FIR,CEDAR,FIR,FIR,CEDAR,FIR,FIR",11,11,11,4 
"WWAP99-0604",2001,1,"Firs/Hemlock",6,".75-2","X",">30",11,9.0909090909,"Firs/Hemlock"," ",11, ,"FIR,FIR,FIR,FIR,FIR,FIR,FIR,FIR,FIR,FIR,FIR",11,11,10,1 
"WWAP99-0608",2001,1,"Firs/Hemlock",6,".3-.75","L",">30",11,6.8888888889,"Alder/Birch","Firs/Hemlock",7,2,"ALDER,FIR,ALDER,FIR,ALDER,ALDER,ALDER,FIR,ALDER,ALDER,ALDER",11,11,6,0 
"WWAP99-0611",2001,1,"Firs/Hemlock",12,".3-.75","L","15-30",11,6.2222222222,"Firs/Hemlock"," ",9, ,"FIR,FIR,FIR,FIR,FIR,FIR,FIR,FIR,FIR,FIR,FIR",11,11,5,0 
"WWAP99-0612",2001,1,"Firs/Hemlock",15,".3-.75","L",">30",11,7.7272727273,"Firs/Hemlock"," ",11, ,"FIR,FIR,FIR,FIR,FIR,FIR,FIR,FIR,FIR,FIR,FIR",11,11,9,0 
"WWAP99-0614",2001,1,"Pine",100,".3-.75","L",">30",11,233.33333333,"Pine","Firs/Hemlock",6,2,"PINE,PINE,PINE,SPRUCE,FIR,PINE,PINE,PINE,FIR,PINE,PINE",11,11,9,0 
"WWAP99-0617",2001,1,"Firs/Hemlock",3,">2","X",">30",10,5.4,"Firs/Hemlock"," ",5, ,"FIR,FIR,FIR,FIR,FIR,FIR,FIR,FIR,FIR,FIR,FIR",10,10,8,4 
"WWAP99-0618",2001,1,"Firs/Hemlock",25,".75-2","X",">30",11,21.818181818,"Firs/Hemlock","Cedar/Cypress/Sequoia",10,1,"FIR,FIR,FIR,FIR,FIR,FIR,FIR,CEDAR,FIR,FIR,FIR",11,11,11,6 
"WWAP99-0622",2001,1,"Firs/Hemlock",19,".75-2","X",">30",11,15.7,"Firs/Hemlock","Cedar/Cypress/Sequoia",6,3,"PINE,CEDAR,FIR,FIR,CEDAR,FIR,CEDAR,FIR,FIR,CEDAR,FIR",11,11,10,1 
"WWAP99-0630",2001,1,"Spruce",0,".75-2","X",">30",11,30.363636364,"Spruce","Firs/Hemlock",9,1,"SPRUCE,FIR,PINE,SPRUCE,SPRUCE,SPRUCE,SPRUCE,SPRUCE,SPRUCE,SPRUCE,SPRUCE",11,11,11,3 
"WWAP99-0632",2001,1,"Unknown",700,".75-2","L","15-30",11,500,"Firs/Hemlock","Unknown",7,1,"FIR,FIR,FIR,FIR,FIR,FIR,FIR,FIR,FIR,UNKNOWN,FIR",11,10,8,0 
"WWAP99-0633",2001,1,"Spruce",5,".75-2","L","15-30",6,6.125,"Firs/Hemlock","Spruce",3,3,"FIR,SPRUCE,FIR,SPRUCE,SPRUCE,FIR,SPRUCE,CEDAR,CEDAR,FIR,FIR",6,6,6,0 
"WWAP99-0635",2001,1,"Cedar/Cypress/Sequoia",5,">2","X",">30",11,6.4545454545,"Cedar/Cypress/Sequoia","Firs/Hemlock",9,1,"CEDAR,CEDAR,FIR,CEDAR,CEDAR,CEDAR,CEDAR,SPRUCE,CEDAR,CEDAR,CEDAR",11,11,11,7 
"WWAP99-0636",2001,1,"Cedar/Cypress/Sequoia",25,".75-2","L","15-30",11,14,"Cedar/Cypress/Sequoia","Poplar/Cottonwood",8,2,"CEDAR,CEDAR,CEDAR,COTTONWOOD,COTTONWOOD,CEDAR,CEDAR,CEDAR,CEDAR,CEDAR,CEDAR",11,11,10,0 
"WWAP99-0637",2001,1,"Firs/Hemlock",4,".75-2","X",">30",10,6.4444444444,"Firs/Hemlock"," ",9, ,"FIR,FIR,FIR,FIR,FIR,FIR,FIR,FIR,FIR,FIR,FIR",10,10,10,6 
"WWAP99-0639",2001,1,"Spruce",10,">2","X",">30",11,9.5,"Spruce","Firs/Hemlock",6,1,"SPRUCE,SPRUCE,SPRUCE,SPRUCE,MAPLE,FIR,FIR,SPRUCE,FIR,FIR,SPRUCE",11,11,11,5 
"WWAP99-0640",2001,1,"Firs/Hemlock",2,".75-2","X",">30",11,5.9090909091,"Firs/Hemlock"," ",11, ,"FIR,FIR,FIR,FIR,FIR,FIR,FIR,FIR,FIR,FIR,FIR",11,11,10,2 
"WWAP99-0641",2001,1,"Spruce",3,">2","X",">30",10,8.875,"Spruce","Firs/Hemlock",7,1,"FIR,FIR,SPRUCE,SPRUCE,FIR,SPRUCE,SPRUCE,FIR,SPRUCE,SPRUCE,SPRUCE",10,10,10,4 
"WWAP99-0642",2001,1,"Firs/Hemlock",3,">2","X",">30",11,7.1818181818,"Firs/Hemlock","Spruce",9,2,"FIR,FIR,SPRUCE,SPRUCE,FIR,FIR,FIR,FIR,FIR,FIR,FIR",11,11,11,7 
"WWAP99-0676",2002,1,"Firs/Hemlock",7,">2","X",">30",11,8.2727272727,"Firs/Hemlock","Cedar/Cypress/Sequoia",6,5,"CEDAR,FIR,FIR,FIR,CEDAR,CEDAR,CEDAR,CEDAR,FIR,FIR,FIR",11,11,11,1 
"WWAP99-0677",2002,1,"Firs/Hemlock",14,">2","X",">30",11,8.6666666667,"Firs/Hemlock"," ",6, ,"FIR,FIR,FIR,FIR,FIR,FIR,FIR,CEDAR,FIR,FIR,FIR",11,11,10,4 
"WWAP99-0681",2002,1,"Poplar/Cottonwood",3,".3-.75","L","15-30",11,4,"Poplar/Cottonwood"," ",11, ,"POPLAR,POPLAR,POPLAR,POPLAR,POPLAR,POPLAR,POPLAR,POPLAR,POPLAR,POPLAR,POPLAR",11,11,3,0 
"WWAP99-0682",2002,1,"Firs/Hemlock",20,".3-.75","L","15-30",11,9,"Firs/Hemlock","Spruce",8,2,"FIR,SPRUCE,FIR,SPRUCE,FIR,FIR,FIR,FIR,FIR,FIR,FIR",11,11,6,0 
"WWAP99-0688",2002,1,"Poplar/Cottonwood",7,">2","X",">30",11,8.3333333333,"Poplar/Cottonwood","Firs/Hemlock",4,1,"COTTONWOOD,COTTONWOOD,FIR,FIR,FIR,COTTONWOOD,FIR,COTTONWOOD,CEDAR,PINE,COTTONWOOD",11,11,10,4 
"WWAP99-0689",2002,1,"Firs/Hemlock",20,">2","X",">30",11,15.571428571,"Firs/Hemlock","Snag",5,2,"SNAG,FIR,ALDER,ALDER,FIR,FIR,ALDER,SNAG,FIR,FIR,ALDER",11,11,11,6 
"WWAP99-0692",2002,1,"Maple/Boxelder",15,".75-2","X",">30",11,9.1111111111,"Alder/Birch","Cedar/Cypress/Sequoia",4,2,"MAPLE,ALDER,CEDAR,MAPLE,CEDAR,CEDAR,FIR,CEDAR,ALDER,ALDER,ALDER",11,11,8,3 
"WWAP99-0695",2002,1,"Firs/Hemlock",6,".75-2","X",">30",11,11.181818182,"Firs/Hemlock","Pine",6,4,"FIR,PINE,PINE,PINE,FIR,PINE,COTTONWOOD,FIR,FIR,FIR,FIR",11,11,10,2 
"WWAP99-0697",2002,1,"Firs/Hemlock",6,">2","X",">30",11,6.8,"Cedar/Cypress/Sequoia","Firs/Hemlock",5,5,"CEDAR,FIR,FIR,CEDAR,CEDAR,CEDAR,CEDAR,FIR,FIR,FIR,CEDAR",11,11,10,5 
"WWAP99-0700",2002,1,"Firs/Hemlock",25,".3-.75","L",">30",11,17.181818182,"Firs/Hemlock","Pine",9,2,"FIR,FIR,FIR,PINE,FIR,PINE,FIR,FIR,FIR,FIR,FIR",11,11,5,0 
"WWAP99-0701",2002,1,"Firs/Hemlock",10,">2","X",">30",11,8.0909090909,"Firs/Hemlock","Cedar/Cypress/Sequoia",6,5,"FIR,FIR,CEDAR,CEDAR,FIR,CEDAR,FIR,CEDAR,CEDAR,FIR,FIR",11,11,11,3 
"WWAP99-0702",2002,1,"Firs/Hemlock",5,".3-.75","L","15-30",11,4.5,"Firs/Hemlock","Poplar/Cottonwood",5,1,"FIR,FIR,FIR,HEMLOCK,POPLAR,FIR,FIR,FIR,FIR,FIR,FIR",11,11,6,0 
"WWAP99-0704",2002,1,"Poplar/Cottonwood",5,".75-2","X",">30",11,8.7142857143,"Firs/Hemlock","Poplar/Cottonwood",6,1,"FIR,FIR,POPLAR,FIR,FIR,FIR,FIR,FIR,FIR,FIR,FIR",11,10,6,1 
"WWAP99-0705",2002,1,"Firs/Hemlock",30,".75-2","X",">30",11,16.909090909,"Firs/Hemlock"," ",11, ,"FIR,FIR,FIR,FIR,FIR,FIR,FIR,FIR,FIR,FIR,FIR",11,11,11,2 
"WWAP99-0706",2002,1,"Firs/Hemlock",5,">2","X",">30",11,7,"Firs/Hemlock"," ",6, ,"FIR,FIR,FIR,FIR,FIR,FIR,FIR,FIR,FIR,FIR,FIR",11,11,11,6 
"WWAP99-0712",2002,1,"Firs/Hemlock",6,".75-2","X",">30",11,5.875,"Firs/Hemlock","Snag",4,2,"FIR,SNAG (CEDAR),FIR,FIR,FIR,SPRUCE,SNAG,FIR,CEDAR,CEDAR,FIR",11,11,11,2 
"WWAP99-0713",2002,1,"Firs/Hemlock",5,".75-2","X",">30",11,9.0909090909,"Firs/Hemlock","Cedar/Cypress/Sequoia",6,4,"FIR,FIR,CEDAR,FIR,CEDAR,FIR,CEDAR,SNAG (CEDAR),CEDAR,FIR,FIR",11,11,11,10 
"WWAP99-0714",2002,1,"Cedar/Cypress/Sequoia",4,".75-2","X",">30",11,9.1,"Alder/Birch","Cedar/Cypress/Sequoia",4,3,"CEDAR,MAPLE,ALDER,ALDER,ALDER,MAPLE,ALDER,CEDAR,ALDER,COTTONWOOD,CEDAR",11,11,6,1 
"WWAP99-0716",2002,1,"Firs/Hemlock",2,">2","X",">30",11,2.4,"Firs/Hemlock","Alder/Birch",3,1,"FIR,FIR,ALDER,FIR,ALDER,SNAG,FIR,FIR,ALDER,ALDER,ALDER",11,11,10,5 
"WWAP99-0719",2002,1,"Firs/Hemlock",7,".75-2","X",">30",11,5.1818181818,"Firs/Hemlock","Alder/Birch",8,2,"FIR,FIR,SNAG,FIR,FIR,FIR,FIR,FIR,ALDER,ALDER,FIR",11,11,11,5 
"WWAP99-0720",2002,1,"Alder/Birch",8,".75-2","L","15-30",11,4.7777777778,"Alder/Birch","Firs/Hemlock",5,3,"FIR,ALDER,FIR,FIR,ALDER,ALDER,FIR,ALDER,ALDER,snag,SPRUCE",11,11,3,0 
"WWAP99-0721",2002,1,"Firs/Hemlock",2,".75-2","X",">30",11,3.5777777778,"Cedar/Cypress/Sequoia","Firs/Hemlock",5,3,"CEDAR,CEDAR,FIR,FIR,FIR,FIR,CEDAR,CEDAR,POPLAR,POPLAR,CEDAR",11,11,9,2 
"WWAP99-0722",2002,1,"Pine",3,".3-.75","L","15-30",9,14.666666667,"Pine","Firs/Hemlock",8,1,"PINE,PINE,PINE,PINE,PINE,PINE,PINE,PINE,FIR",9,8,2,0 
"WWAP99-0729",2002,1,"Cedar/Cypress/Sequoia",8,".75-2","L","15-30",3,10.857142857,"Poplar/Cottonwood","Cedar/Cypress/Sequoia",3,2,"POPLAR,CEDAR,CEDAR,FIR,CEDAR,FIR,FIR,POPLAR,FIR,POPLAR,POPLAR",3,3,3,0 
"WWAP99-0730",2002,1,"Poplar/Cottonwood",20,".75-2","X",">30",11,30.833333333,"Firs/Hemlock","Pine",4,1,"ALDER,POPLAR,PINE,POPLAR,FIR,FIR,FIR,FIR,FIR,POPLAR,FIR",11,11,6,6 
"WWAP99-0732",2002,1,"Cedar/Cypress/Sequoia",5,">2","X",">30",10,3.2,"Cedar/Cypress/Sequoia","Firs/Hemlock",4,1,"CEDAR,FIR,CEDAR,CEDAR,FIR,CEDAR,CEDAR,FIR,FIR,FIR,FIR",10,10,10,2 
"WWAP99-0733",2002,1,"Pine",8,".75-2","X",">30",11,4.8,"Firs/Hemlock","Cedar/Cypress/Sequoia",6,2,"FIR,PINE,FIR,FIR,PINE,CEDAR,FIR,FIR,FIR,CEDAR,FIR",11,11,10,1 
"WWAP99-0735",2002,1,"Poplar/Cottonwood",5,">2","X",">30",11,5.25,"Poplar/Cottonwood","Firs/Hemlock",7,1,"FIR,POPLAR,POPLAR,POPLAR,POPLAR,POPLAR,POPLAR,FIR,POPLAR,POPLAR,POPLAR",11,11,10,6 
"WWAP99-0736",2002,1,"Firs/Hemlock",2,">2","X",">30",11,3.14,"Firs/Hemlock","Poplar/Cottonwood",6,3,"FIR,POPLAR,POPLAR,FIR,SNAG,FIR,POPLAR,POPLAR,FIR,FIR,FIR",11,11,9,4 
"WWAP99-0765",2003,1,"Firs/Hemlock",2,".75-2","X",">30",11,7.0909090909,"Firs/Hemlock","Poplar/Cottonwood",9,1,"FIR,FIR,COTTONWOOD,SNAG,FIR,FIR,FIR,FIR,FIR,FIR,FIR",11,11,11,2 
"WWAP99-0766",2003,1,"Firs/Hemlock",10,".3-.75","L",">30",11,6.7272727273,"Firs/Hemlock","Snag",10,1,"FIR,FIR,FIR,FIR,FIR,SNAG,FIR,FIR,FIR,FIR,FIR",11,11,11,0 
"WWAP99-0768",2003,1,"Spruce",25,".75-2","X",">30",11,21,"Spruce","Cedar/Cypress/Sequoia",4,1,"SPRUCE,FIR,SPRUCE,SPRUCE,CEDAR,FIR,SPRUCE,SPRUCE,SPRUCE,SNAG,SPRUCE",11,11,11,6 
"WWAP99-0770",2003,1,"Firs/Hemlock",12,".75-2","X",">30",11,11.090909091,"Firs/Hemlock","Pine",8,3,"FIR,PINE,PINE,FIR,FIR,PINE,FIR,FIR,FIR,FIR,FIR",11,11,11,3 
"WWAP99-0772",2003,1,"Cedar/Cypress/Sequoia",11,".75-2","X",">30",11,13.222222222,"Cedar/Cypress/Sequoia","Firs/Hemlock",5,4,"CEDAR,CEDAR,FIR,FIR,CEDAR,CEDAR,CEDAR,FIR,FIR,FIR,FIR",11,11,11,9 
"WWAP99-0776",2003,1,"Firs/Hemlock",4,".75-2","X",">30",11,6.7272727273,"Snag","Firs/Hemlock",9,1,"SNAG,FIR,SNAG,SPRUCE,SNAG,SNAG,SNAG,SNAG,SNAG,SNAG,SNAG",11,11,8,2 
"WWAP99-0777",2003,1,"Poplar/Cottonwood",10,">2","X",">30",11,10,"Firs/Hemlock","Cedar/Cypress/Sequoia",6,1,"SNAG,FIR,COTTONWOOD,FIR,FIR,FIR,FIR,FIR,FIR,CEDAR,FIR",11,11,11,6 
"WWAP99-0778",2003,1,"Firs/Hemlock",5,".75-2","X",">30",11,6.4545454545,"Firs/Hemlock","Poplar/Cottonwood",5,3,"ALDER,FIR,SNAG,COTTONWOOD,COTTONWOOD,PINE,FIR,COTTONWOOD,FIR,FIR,FIR",11,11,11,5 
"WWAP99-0780",2003,1,"Snag",150,".75-2","L","15-30",11,92.777777778,"Firs/Hemlock","Snag",8,1,"FIR,FIR,FIR,FIR,FIR,SNAG,FIR,FIR,FIR,FIR,FIR",11,11,7,0 
"WWYP99-0501",2000,1,"Pine",3,".1-.3","M","5-15",6,1.8,"Alder/Birch","Pine",4,1,"ALDER,ALDER,LODGEPOLE PINE,ALDER,ALDER,SPRUCE",6,1,0,0 
"WWYP99-0504",2000,1,"Spruce",5,".3-.75","L","15-30",11,1.1818181818,"Willow","Pine",9,1,"SPRUCE,LODGEPOLE PINE,WILLOW,WILLOW,WILLOW,WILLOW,WILLOW,WILLOW,WILLOW,WILLOW,WILLOW",11,2,2,0 
"WWYP99-0506",2000,1," ", ," "," "," ", , ," "," ",8, ," ", , , ,  
"WWYP99-0508",2000,1," ", ," "," "," ", , ," "," ",11, ," ", , , ,  
